addref,city,assembly,body,make,model,year,engine,transmission,fuel,color,registered,mileage,price
7943730,Kasur,,Hatchback,Suzuki,Alto,2022,660,Manual,Petrol,Solid White,Punjab,34500,2200000
7943728,Islamabad,,Hatchback,Suzuki,Cultus,2017,1000,Manual,Petrol,White,Islamabad,52500,2505000
7937695,Lahore,Imported,SUV,Toyota,Land,2022,3500,Automatic,Petrol,Black,Un-Registered,12000,89800000
7881858,Lahore,,Sedan,Toyota,Corolla,2021,1798,Automatic,Petrol,Super white,Punjab,27000,6850000
7943721,Lahore,,MPV,Honda,BR-V,2020,1500,Automatic,Petrol,Modern Steel Metallic,Islamabad,67500,5175000
7900422,Islamabad,Imported,Hatchback,Toyota,Vitz,2020,1500,Automatic,Hybrid,Super White II,Un-Registered,42500,6250000
7853470,Lahore,,SUV,Hyundai,Tucson,2022,2000,Automatic,Petrol,White,Islamabad,10683,8780000
7925869,Islamabad,Imported,Hatchback,Suzuki,Alto,2020,660,Automatic,Petrol,Silver,Un-Registered,9500,3400000
7919724,Bahawalnagar,,Sedan,Honda,Civic,1999,1500,Automatic,Petrol,Silver,Lahore,200000,1190000
7896546,Lahore,Imported,,Toyota,Yaris,2020,1000,Automatic,Petrol,White,Un-Registered,32745,5390000
7929624,Lahore,Imported,Hatchback,Toyota,Passo,2019,1000,Automatic,Petrol,Green,Un-Registered,35588,4290000
7910811,Lahore,,Sedan,Honda,Civic,2018,1800,Automatic,Petrol,Crystal Black,Lahore,76000,5200000
7869114,Lahore,Imported,Crossover,Toyota,C-HR,2018,1800,Automatic,Hybrid,White,Punjab,76000,8400000
7933596,Lahore,Imported,,Toyota,Yaris,2021,1500,Automatic,Hybrid,White,Un-Registered,17449,10800000
7926027,Lahore,Imported,Hatchback,Suzuki,Hustler,2015,660,Automatic,Petrol,Maroon,Lahore,62000,2500000
7894428,Lahore,Imported,Hatchback,Toyota,Vitz,2019,996,Automatic,Petrol,White,Un-Registered,51614,4990000
7843971,Lahore,Imported,Hatchback,Toyota,Passo,2020,1000,Automatic,Petrol,Green,Un-Registered,19814,4350000
7943710,Lahore,,SUV,KIA,Sportage,2021,1999,Automatic,Petrol,White,Punjab,43000,7750000
7929610,Lahore,Imported,Hatchback,Toyota,Passo,2019,1000,Automatic,Petrol,Super White ,Un-Registered,33413,4390000
7943709,Sialkot,Imported,Hatchback,Daihatsu,Mira,2013,660,Automatic,Petrol,Red,Lahore,60000,2250000
7855360,Lahore,Imported,Hatchback,Toyota,Vitz,2019,1000,Automatic,Petrol,Grey,Un-Registered,41952,4850000
7642612,Karachi,,Sedan,Suzuki,Liana,2006,1300,Manual,Petrol,Cerullian Blue,Sindh,180000,770000
7881407,Lahore,Imported,Hatchback,Toyota,Vitz,2019,1000,Automatic,Petrol,Silver,Un-Registered,38784,4950000
7943712,Lahore,,Sedan,Honda,Civic,2005,1500,Manual,Petrol,Grey,Islamabad,76000,1875000
7943711,Karachi,,Sedan,Honda,City,2013,1500,Automatic,Petrol,Taffeta White,Sindh,124000,2575000
7943714,Islamabad,,Sedan,Honda,Civic,1999,1600,Automatic,Petrol,Silver,Islamabad,100000,1050000
7910834,Lahore,Imported,Hatchback,Toyota,Aqua,2013,1500,Automatic,Hybrid,Grey,Lahore,118000,3580000
7943716,Islamabad,,Sedan,Suzuki,Baleno,2001,1300,Manual,Petrol,White,Lahore,280000,660000
7943719,Karachi,Imported,,Nissan,Dayz,2014,660,Automatic,Petrol,Black,Karachi,93000,2250000
7943718,Lahore,,Sedan,Toyota,Corolla,2018,1600,Automatic,Petrol,Silver Metallic,Lahore,85000,4500000
7943717,Islamabad,,Sedan,Toyota,Corolla,2013,1300,Manual,Petrol,Blue,Islamabad,129000,3150000
7943715,Lahore,Imported,Sedan,Toyota,Belta,2007,1300,Automatic,Petrol,Grey,Lahore,150000,210000
7943691,Islamabad,,Sedan,Honda,Civic,2017,1800,Automatic,Petrol,Taffeta White,Islamabad,117000,4900000
7943681,Rawalpindi,Imported,Sedan,Toyota,Corolla,2019,1300,Manual,Petrol,White,Islamabad,92000,4700000
7943690,Lahore,,Sedan,Honda,Civic,2013,1800,Automatic,Petrol,Crystal Black,Islamabad,81000,3800000
7943687,Quetta,Imported,Hatchback,Toyota,Vitz,2017,1500,Automatic,Hybrid,White,Sindh,31000,5100000
7943686,Rawalpindi,,Sedan,Toyota,Corolla,2015,1300,Manual,Petrol,Attitude Black,Islamabad,96000,3450000
7943688,Islamabad,Imported,,Suzuki,Alto,2009,660,Automatic,Petrol,White,Islamabad,123,1550000
7943693,Lahore,,Sedan,Honda,Civic,2015,1800,Manual,Petrol,Grey,Lahore,126000,2975000
7943692,Lahore,,Sedan,Honda,City,2018,1300,Automatic,Petrol,Lunar Silver Metallic,Punjab,76000,3900000
7943694,Islamabad,Imported,,Honda,Vezel,2014,1500,Automatic,Hybrid,White,Islamabad,110000,4740000
7750226,Gujranwala,Imported,Micro Van,Suzuki,Every,2014,660,Automatic,Petrol,White,Lahore,130500,1900000
7943696,Lahore,,Sedan,Honda,Civic,2006,1500,Manual,Petrol,Crystal Black,Lahore,200000,1325000
7943697,Mardan,Imported,Crossover,Toyota,Raize,2020,996,Automatic,Petrol,White,Un-Registered,18500,5850000
7943701,Lahore,Imported,Crossover,Honda,Vezel,2014,1500,Automatic,Hybrid,White,Islamabad,82000,5200000
7918508,Islamabad,,Sedan,Toyota,Corolla,2022,1598,Automatic,Petrol,Super White,Islamabad,8500,6925000
7815514,Lahore,,Sedan,Honda,Civic,2015,1800,Automatic,Petrol,Crystal Black,Punjab,147000,4300000
7414644,Rawalpindi,,Hatchback,Suzuki,Swift,2022,1242,Automatic,Petrol,Solid White,Islamabad,9000,4850000
7943698,Pindi,,Sedan,Honda,Civic,2017,1800,Automatic,Petrol,Taffeta White,Lahore,106000,5150000
7716245,Karachi,Imported,Hatchback,Toyota,Vitz,2020,996,Automatic,Petrol,Black Mica,Un-Registered,41000,4600000
7943702,Karachi,Imported,Mini Van,Daihatsu,Hijet,2011,660,Automatic,Petrol,White,Sindh,150000,1220000
7850422,Lahore,Imported,SUV,Toyota,Prado,2012,4000,Automatic,Petrol,Super White,Islamabad,90000,23500000
7878313,Gujrat,,Sedan,Hyundai,Elantra,2022,1600,Automatic,Petrol,Black,Islamabad,9960,6350000
7943708,Lahore,,Sedan,Honda,City,2019,1300,Manual,Petrol,Taffeta White,Lahore,63000,3690000
7915550,Karachi,,Double Cabin,Toyota,Hilux,2019,3000,Automatic,Diesel,Super White,Sindh,43490,10500000
7887551,Islamabad,,Hatchback,Suzuki,Alto,2019,660,Manual,Petrol,White,Islamabad,150000,2099000
7909742,Lahore,Imported,SUV,Toyota,Fortuner,2016,2700,Automatic,Petrol,White,Lahore,67000,8400000
7943627,Charsadda,,Hatchback,Suzuki,Mehran,2006,800,Manual,Petrol,Silver,Punjab,396701,700000
7943651,Islamabad,,Sedan,Honda,Civic,2005,1500,Automatic,Petrol,Grey,Sindh,138545,1200000
7667955,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Yellow,Lahore,90000,2375000
7943658,Islamabad,,Hatchback,Suzuki,Alto,2021,660,Manual,Petrol,White,Islamabad,72000,2285000
7943660,Hyderabad,,,Adam,Revo,2022,2800,Automatic,Diesel,Black,Sindh,15000,15000000
7943657,Gujranwala,,Hatchback,Suzuki,Swift,2015,1300,Manual,Petrol,Silky Silver,Punjab,77000,2384000
7943667,Lahore,,Hatchback,Suzuki,Mehran,2012,796,Manual,Petrol,Graphite Grey,Punjab,115000,870000
7943654,Lahore,,Hatchback,Suzuki,Alto,2022,660,Automatic,Petrol,Solid White,Punjab,11000,2950000
7943671,Lahore,,Sedan,Honda,Civic,2015,1800,Manual,Petrol,Grey,Lahore,126000,2975000
7943673,Peshawar,,Sedan,Toyota,Corolla,2008,1300,Manual,Petrol,Super White,Lahore,589669,1490000
7938035,Rawalpindi,,Hatchback,Mazda,Carol,2014,660,Automatic,Petrol,Silver,Islamabad,195000,2190000
7943674,Multan,,Sedan,Honda,City,2013,1500,Automatic,Petrol,Silver,Punjab,100000,3200000
7943669,Lahore,,Sedan,Honda,Civic,2018,1800,Automatic,Petrol,Silver,Lahore,114200,5090000
7943655,Lahore,,Sedan,Honda,Civic,2007,1800,Automatic,Petrol,Beige Metallic,Punjab,192000,1880000
7943684,Gujranwala,,,Suzuki,Baleno,2005,1500,Automatic,Petrol,Beige,Lahore,137000,1600000
7943683,Chichawatni,,Sedan,Toyota,Corolla,2017,1300,Manual,Petrol,Silver Metallic,Lahore,190000,3350000
7764607,Karachi,Imported,,Nissan,Sunny,1991,1000,Manual,,White,Karachi,200000,400000
7943682,Lahore,,Sedan,Toyota,Corolla,2011,1300,Manual,Petrol,Black,Lahore,125000,2825000
7226385,Lahore,Imported,Crossover,Honda,Vezel,2017,1500,Automatic,Petrol,Red,Un-Registered,10500,8475000
7943629,Islamabad,,Sedan,Toyota,Corolla,2010,1300,Manual,Petrol,Silver Metallic,Sindh,123456,2250000
7943675,Multan,Imported,Crossover,Honda,Vezel,2015,1500,Automatic,Hybrid,White,Karachi,100423,4395000
7943596,Islamabad,Imported,Hatchback,Honda,N,2020,660,Automatic,Petrol,Blue,Un-Registered,10000,3800000
7943606,Islamabad,Imported,Hatchback,Suzuki,Alto,2020,660,Automatic,Petrol,White,Un-Registered,36000,3695000
7943601,Islamabad,,Sedan,Toyota,Corolla,2018,1800,Automatic,Petrol,Silver,Islamabad,94000,5800000
7943598,Peshawar,Imported,SUV,KIA,Sportage,2003,2000,Manual,Diesel,Silver,Lahore,250000,1280000
7582976,Lahore,Imported,Crossover,Lexus,RX,2012,3500,Automatic,Petrol,White,Islamabad,107000,12600000
7935520,Lahore,,Sedan,Honda,Civic,2018,1800,Automatic,Petrol,Lunar Silver Metallic,Islamabad,65000,5395000
7936359,Karachi,,Sedan,Honda,City,2019,1300,Manual,Petrol,Lunar Silver Metallic,Sindh,112076,3200000
7926462,Karachi,Imported,,Toyota,Corolla,2020,1500,Automatic,Hybrid,White,Sindh,4000,9000000
7943634,Lahore,,Sedan,Honda,Civic,2006,1500,Automatic,Petrol,Blue,Lahore,150000,1650000
7943635,Islamabad,,Hatchback,Suzuki,Wagon,2018,1000,Manual,Petrol,Silky Silver,Islamabad,123000,2350000
7943632,Lahore,,Sedan,Honda,Civic,2020,1800,Automatic,Petrol,Lunar Silver Metallic,Islamabad,41000,6300000
7943637,Lahore,,Hatchback,Suzuki,Cultus,2017,1000,Manual,Petrol,White,Lahore,39807,1695000
7632737,Lahore,,Sedan,Toyota,Corolla,2022,1600,Automatic,Petrol,White,Lahore,39500,6350000
7943638,Mardan,,Sedan,Toyota,Corolla,2001,2000,Manual,Diesel,Purple,Lahore,200000,1160000
7943600,Lahore,Imported,Compact sedan,Mercedes,Benz,2008,1000,Automatic,Petrol,Black,Punjab,38000,2700000
7943640,Lahore,,,Suzuki,Cultus,2018,1000,Automatic,Petrol,Silver,Punjab,65000,2870000
7921463,Lahore,,Sedan,Toyota,Yaris,2020,1500,Automatic,Petrol,Phantom Brown,Punjab,33000,4550000
7943643,Lahore,,Hatchback,Suzuki,Wagon,2018,1000,Manual,Petrol,Silver,Lahore,71000,2300000
7943639,Mardan,,Sedan,Toyota,Corolla,1997,1600,Manual,Petrol,Grey,Faisalabad,88000,1370000
7943641,Mansehra,,Hatchback,Suzuki,Mehran,2004,800,Manual,,White,Sindh,69227,500000
7943645,Islamabad,,Hatchback,Suzuki,Alto,,660,Manual,Petrol,Solid White,Islamabad,3800,2700000
7779451,Karachi,Imported,Hatchback,Daihatsu,Move,2021,658,Automatic,Petrol,Pink,Un-Registered,26000,3700000
7925558,Peshawar,Imported,Hatchback,Suzuki,Alto,2021,660,Automatic,Petrol,White,Un-Registered,6535,3970000
7943647,Kohat,,Mini Van,Suzuki,Bolan,2022,800,Manual,Petrol,Solid White,Islamabad,12000,2000000
7943649,Lahore,,Sedan,Honda,Civic,2007,1800,Automatic,Petrol,Modern Steel Metallic,Lahore,150000,2050000
7943646,Chakwal,Imported,Hatchback,KIA,Picanto,2019,998,Automatic,Petrol,Milky Beige,Islamabad,31000,2650000
7943642,Vehari,Imported,,BMW,6,2003,3000,Automatic,Diesel,Silver,Islamabad,200000,3500000
7943648,Mardan,,Sedan,Toyota,Corolla,1997,1600,Manual,Petrol,Grey,Faisalabad,123,1370000
7696404,Islamabad,Imported,,Toyota,Roomy,2020,1000,Automatic,Petrol,White,Un-Registered,40000,4100000
7942614,Mardan,,Sedan,Toyota,Corolla,2011,1300,Manual,Petrol,White,Islamabad,100000,2450000
7891856,Islamabad,,Hatchback,Daihatsu,Move,2020,660,Automatic,Petrol,Dark Blue,Un-Registered,13000,4075000
7843515,Islamabad,Imported,Crossover,Honda,Vezel,2018,1500,Automatic,Hybrid,White Pearl,Un-Registered,59000,8900000
7876184,Islamabad,Imported,Hatchback,Toyota,Yaris,2020,996,Automatic,Petrol,Silver,Un-Registered,38000,5000000
7890937,Lahore,,Hatchback,Suzuki,Alto,2021,660,Manual,Petrol,Silky Silver,Punjab,27629,2465000
7696399,Islamabad,Imported,Hatchback,Toyota,Corolla,2020,2000,Automatic,Hybrid,White,Un-Registered,44000,9700000
7666933,Islamabad,Imported,Sedan,Toyota,Prius,2019,1800,Automatic,Hybrid,Super White,Un-Registered,84000,9100000
7456455,Abbottabad,,Hatchback,Suzuki,Wagon,2020,1000,Manual,Petrol,White,Islamabad,42000,2700000
7341218,Islamabad,Imported,Sedan,Toyota,Prius,2019,1800,Automatic,Hybrid,Beige,Un-Registered,97000,8995000
7943603,Peshawar,,SUV,Toyota,Fortuner,2021,2800,Automatic,Diesel,Super White,Islamabad,26000,16200000
7633973,Lahore,,Hatchback,Suzuki,Cultus,2018,1000,Automatic,Petrol,Graphite Grey,Lahore,72000,3100000
7943604,Lahore,,Sedan,Honda,Civic,2007,1800,Automatic,Petrol,Modern Steel Metallic,Lahore,140000,1950000
7943607,Rawalpindi,,Hatchback,Suzuki,Mehran,2004,800,Manual,Petrol,Snow White Pearl,Islamabad,98000,735000
7943612,Rawalpindi,,Hatchback,Suzuki,Mehran,2016,796,Manual,Petrol,Graphite Grey,Lahore,47000,1180000
7943611,Lahore,Imported,High Roof,Toyota,Hiace,2014,2700,Automatic,Petrol,Silver,Karachi,12456,4300000
7481889,Lahore,Imported,Sedan,Mercedes,Benz,2022,1500,Automatic,Petrol,Obsidian Black Metallic,Islamabad,900,45500000
7943621,Hafizabad,,Sedan,Toyota,Corolla,2016,1300,Manual,Petrol,Black,Punjab,86000,3350000
7943619,Karachi,,Sedan,Toyota,Corolla,2018,1300,Automatic,Petrol,Strong Blue,Sindh,49000,4200000
7943620,Nowshera,,Sedan,Honda,Civic,2013,1800,Automatic,Petrol,White,Lahore,152000,3800000
7943614,Lahore,Imported,Micro Van,Suzuki,Every,2022,660,Manual,Petrol,Black,Un-Registered,72000,2450000
7943623,Faisalabad,,Sedan,Honda,Civic,2005,1500,Manual,Petrol,Alabaster Silver,Faisalabad,1,1500000
7879880,Peshawar,Imported,Hatchback,Suzuki,Alto,2021,660,Automatic,Petrol,White,Un-Registered,10750,3850000
7943626,Faisalabad,,Hatchback,Daihatsu,Cuore,2003,800,Manual,Petrol,Black,Sindh,188000,680000
7943630,Rawalpindi,Imported,Sedan,BMW,3,2003,1800,Automatic,Petrol,Alpine White,Islamabad,26,2500000
7943618,Rawalpindi,,Sedan,Toyota,Corolla,2006,1300,Manual,Petrol,Black Mica,Islamabad,132000,1920000
7943625,Islamabad,,Hatchback,Daihatsu,Cuore,2000,800,Manual,Petrol,Green,Islamabad,197000,700000
7943624,Okara,,Mini Van,Changan,Karvaan,2021,999,Manual,Petrol,Silver,Punjab,17000,2850000
7873279,Karachi,,Sedan,Hyundai,Elantra,2022,1600,Automatic,Petrol,White,Sindh,8480,6250000
7939766,Lahore,,SUV,KIA,Sportage,2019,2000,Automatic,Petrol,Black,Islamabad,68750,6885000
7937327,Lahore,,Sedan,Honda,Civic,2018,1800,Automatic,Petrol,Silver,Lahore,73000,5250000
7938438,Lahore,,Sedan,Honda,City,2005,1300,Manual,Petrol,Alabaster Silver,Lahore,159800,1550000
7928337,Lahore,,Sedan,Toyota,Corolla,2021,1598,Automatic,Petrol,Silver Metallic,Punjab,18000,5650000
7886003,Karachi,Imported,Hatchback,Daihatsu,Charade,,1000,Manual,Petrol,White,Karachi,90000,390000
7943582,Lahore,,SUV,KIA,Sportage,2020,2000,Automatic,Petrol,Silver,Islamabad,60000,6875000
7943583,Sadiqabad,,Sedan,Changan,Alsvin,2021,1500,Automatic,Petrol,Lunar Silver,Punjab,33111,4500000
7913444,Islamabad,,Sedan,Honda,Civic,2008,1800,Automatic,Petrol,White,Lahore,183000,2250000
7943584,Rawalpindi,,Sedan,Toyota,Corolla,2007,1300,Manual,Petrol,Black Mica,Islamabad,159000,1850000
7935104,Sialkot,,SUV,Toyota,Fortuner,2022,2800,Automatic,Diesel,Black,Punjab,9000,18400000
7943586,Lahore,,Sedan,Changan,Alsvin,,1300,Manual,Petrol,Steller White,Punjab,12000,4000000
7766793,Lahore,,Hatchback,KIA,Picanto,2021,1000,Automatic,Petrol,Silver,Punjab,10520,3100000
7943595,Lahore,,SUV,Hyundai,Tucson,2021,1999,Automatic,Petrol,Aqua Silver,Lahore,51000,8100000
7943585,Hyderabad,,Compact sedan,Honda,City,2021,1200,Automatic,Petrol,Silver,Sindh,12000,4500000
7896814,Islamabad,Imported,SUV,Toyota,Prado,2005,3378,Automatic,Petrol,White,Islamabad,124000,9175000
7203502,Islamabad,,Crossover,DFSK,Glory,2021,1500,Automatic,Petrol,White,Islamabad,25000,6800000
7943588,Charsadda,,Hatchback,Suzuki,Cultus,2005,1000,Manual,Petrol,White,Lahore,20,740000
7943593,Wah,,Sedan,Toyota,Corolla,2007,2000,Manual,Diesel,Gold,Sindh,122000,2050000
7943599,Lahore,,Sedan,Honda,Civic,2021,1800,Automatic,Petrol,Black,Islamabad,28000,6700000
7932913,Islamabad,,Sedan,Toyota,Corolla,2014,1300,Manual,Petrol,Bronze Mica,Lahore,80384,2890000
7933100,Lahore,,Sedan,Honda,Civic,2018,1800,Automatic,Petrol,Grey,Lahore,75000,5750000
7941995,Rawalpindi,Imported,Hatchback,Suzuki,Alto,2011,660,Automatic,Petrol,White,Islamabad,125091,2050000
7456008,Islamabad,,Sedan,Honda,City,2019,1300,Automatic,Petrol,Crystal Black Pearl,Islamabad,49000,4150000
7938044,Islamabad,,Sedan,Toyota,Corolla,2015,1798,Automatic,Petrol,Silver Metallic,Islamabad,126720,3900000
7939864,Islamabad,,Hatchback,Suzuki,Cultus,2015,1000,Manual,Petrol,Graphite Grey,Islamabad,91214,1700000
7929774,Karachi,,Hatchback,KIA,Picanto,2020,998,Automatic,Petrol,Mercury Blue,Karachi,41428,2750000
7866469,Lahore,,Van,Suzuki,Bolan,2022,800,Manual,Petrol,Solid White,Punjab,6000,1850000
7943567,Lahore,,Hatchback,Suzuki,Alto,2010,1000,Manual,Petrol,Graphite Grey,Punjab,141000,1100000
7875062,Lahore,Imported,Sedan,Honda,Accord,2004,2000,Automatic,Petrol,Silver,Karachi,112300,2275000
7943568,Islamabad,,Hatchback,Suzuki,Mehran,2011,800,Manual,Petrol,Blue,Lahore,68000,750000
7937409,Islamabad,Imported,Sedan,Toyota,Corolla,2005,1500,Automatic,Petrol,Silver Metallic,Islamabad,90000,2890000
7943569,Abbottabad,,Sedan,Honda,Civic,2019,1800,Automatic,Petrol,Taffeta White,Lahore,60500,5700000
7887378,Karachi,,Hatchback,KIA,Picanto,2022,998,Automatic,Petrol,Clear White,Karachi,7304,3100000
7877950,Lahore,,Sedan,Honda,Civic,2015,1800,Automatic,Petrol,White,Punjab,91000,3850000
7943571,Lahore,Imported,,Honda,Freed,2012,1500,Automatic,Hybrid,White,Islamabad,120000,3650000
7943573,Islamabad,,Sedan,Toyota,Corolla,2011,1300,Manual,Petrol,Attitude Black Mica,Islamabad,30300,3900000
7943575,Islamabad,,Hatchback,Suzuki,Alto,2020,660,Automatic,Petrol,Solid White,Islamabad,22000,2700000
7943576,Rawalpindi,,Hatchback,Suzuki,Swift,2022,1200,Manual,Petrol,White,Islamabad,20000,4070000
7943111,Karachi,,Sedan,Toyota,Corolla,2014,1798,Automatic,Petrol,Graphite Grey,Karachi,85300,3850000
7943578,Islamabad,,SUV,Toyota,Fortuner,2021,2800,Automatic,Diesel,Super White,Islamabad,23894,17000000
7943577,Lahore,,Hatchback,Suzuki,Wagon,2022,1000,Automatic,Petrol,Solid White,Lahore,8800,3475000
7943579,Hafizabad,,Mini Van,FAW,X-PV,2019,1000,Manual,Petrol,White,Lahore,41000,113000
7943570,Islamabad,,Sedan,Toyota,Yaris,2022,1500,Automatic,Petrol,Grey Graphite,Islamabad,15500,5600000
7880375,Lahore,,Sedan,Toyota,Corolla,2021,1799,Automatic,Petrol,Attitude Black,Punjab,50000,6550000
7943580,Islamabad,Imported,,Nissan,Otti,2013,660,Automatic,Petrol,Grey,Lahore,65000,1650000
7941061,Lahore,,Mini Van,Changan,Karvaan,2021,1000,Manual,Petrol,White,Lahore,10000,2575000
7903608,Islamabad,Imported,Sedan,Mercedes,Benz,2004,1800,Automatic,Petrol,Iridium Silver,Karachi,193270,2500000
7802530,Islamabad,,Sedan,Honda,Civic,2013,1800,Manual,Petrol,Crystal Black,Karachi,87064,2095000
7943537,Islamabad,Imported,Hatchback,Toyota,Vitz,2010,1000,Automatic,Petrol,Silver,Lahore,125000,2120000
7829041,Islamabad,Imported,SUV,Toyota,Prado,2014,2700,Automatic,Petrol,Super White,Sindh,46113,26500000
7903531,Islamabad,,Hatchback,Suzuki,Cultus,2019,1000,Automatic,Petrol,White,Islamabad,58857,3100000
7943358,Islamabad,,Sedan,Honda,City,2019,1300,Automatic,Petrol,Urban Titanium,Islamabad,82500,3725000
7887471,Islamabad,,Sedan,Honda,City,2019,1500,Automatic,Petrol,Taffeta White,Islamabad,40113,4500000
7943516,Karachi,,Hatchback,Suzuki,Swift,2016,1300,Manual,Petrol,Graphite Grey,Karachi,92000,2100000
7943512,Peshawar,Imported,Hatchback,Daihatsu,Cuore,2008,800,Automatic,Petrol,Grey,Lahore,140000,110000
7943544,Karachi,,Sedan,Toyota,Corolla,2004,1600,Automatic,Petrol,silver metallic,Karachi,180000,2000000
7943540,Rawalpindi,,Hatchback,Suzuki,Alto,,660,Automatic,Petrol,Solid White,Islamabad,4500,3170000
7943542,Lahore,Imported,Hatchback,Toyota,Passo,2007,1000,Automatic,Petrol,Silver,Sindh,187000,1565000
7943543,Islamabad,Imported,Hatchback,Suzuki,Alto,2018,660,Automatic,Petrol,Blue,Islamabad,63000,3450000
7943545,Lahore,Imported,,Toyota,Prius,2013,1800,Automatic,Hybrid,Silver,Islamabad,112000,4750000
7943546,Islamabad,,Hatchback,Suzuki,Mehran,2018,796,Manual,Petrol,Solid White,Islamabad,100000,1475000
7943548,Haripur,,Van,Suzuki,Bolan,2021,800,Manual,Petrol,Solid White,Islamabad,24000,184000
7943550,Mardan,Imported,,Toyota,Duet,2003,1000,Automatic,,White,Karachi,108550,1180000
7943554,Islamabad,,Sedan,Toyota,Corolla,2009,1300,Manual,Petrol,Graphite Grey,Islamabad,82000,2550000
7943555,Lahore,,Sedan,Honda,Civic,2011,1800,Automatic,Petrol,Crystal Black,Islamabad,100500,2500000
7943558,Islamabad,,Sedan,Toyota,Corolla,2015,1300,Manual,Petrol,Silver Metallic,Islamabad,135000,3450000
7943551,Lahore,,Hatchback,Suzuki,Alto,2021,660,Manual,Petrol,White,Punjab,46500,2395000
7943564,Lahore,,Hatchback,Suzuki,Mehran,2015,800,Manual,Petrol,Grey,Punjab,99000,1150000
7802667,Islamabad,,Sedan,Toyota,Corolla,2022,1598,Automatic,Petrol,Attitude Black,Islamabad,16744,6150000
7943549,Karachi,,Hatchback,Suzuki,Alto,2020,660,Automatic,Petrol,Silky Silver,Karachi,22000,2650000
7938164,Islamabad,,Hatchback,Suzuki,Wagon,2021,1000,Manual,Petrol,Solid White,Islamabad,20250,2850000
7836180,Karachi,,Double Cabin,Toyota,Hilux,2011,4000,Automatic,Petrol,White,Karachi,112479,6500000
7943557,Karachi,Imported,Hatchback,Toyota,Vitz,2007,1300,Automatic,Petrol,Silver,Sindh,132000,2050000
7881059,Islamabad,,Compact sedan,Honda,City,2022,1200,Manual,Petrol,White,Islamabad,27086,4550000
7943541,Peshawar,,Sedan,Toyota,Corolla,2015,1300,Automatic,Petrol,Grey Graphite,Islamabad,67000,4100000
7943517,Islamabad,,Hatchback,Suzuki,Cultus,2015,1000,Manual,Petrol,Silky Silver,Islamabad,79800,1480000
7943472,Lahore,,Sedan,Honda,Civic,2002,1600,Manual,Petrol,Silver,Multan,200000,1355000
7773275,Islamabad,,Crossover,DFSK,Glory,,1498,Automatic,Petrol,White,Islamabad,3538,7000000
7913711,Islamabad,Imported,SUV,Toyota,Prado,2013,4000,Automatic,Petrol,,Islamabad,86731,23500000
7943520,Rawalpindi,,Hatchback,Suzuki,Swift,2012,1300,Manual,Petrol,Silver,Islamabad,71000,2000000
